Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page link,Attachment URL,Image link,Attributes
Pure life dental,1021701, PureLife Dental,1021701,PureBliss Latex Powder-Free,"
        ,Features,
        ,PureLife donates a portion of the proceeds from the sale of this glove to health and environmental causes,Fully-textured,Polymer-coated for an easy fit,Packaging contains at least 85% recycled material,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/purebliss-latex-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1021701_1.jpg,-1
Pure life dental,1068001, PureLife Dental,1068001,NeoPure Green Chloroprene Powder-Free,"
        ,Features,
        ,Powder-free chloroprene exam gloves,Green in color,Latex-free,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/neopure-green-chloroprene-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1068001.jpg,-1
Pure life dental,1061201, PureLife Dental,1061201,SuperNova Nitrile Powder-Free,"
        ,Features,
        ,Revolutionary stretchy nitrile provides superior comfort and increased tactile sensitivity,Textured fingertips,Violet-blue in color,Packaging contains at least 70% recycled material,    ",200/box,200/box,Gloves,-1,https://www.purelifedental.com/product/gloves/supernova-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1061203.jpg,-1
Pure life dental,1060101, PureLife Dental,1060101,Nova Nitrile Powder-Free,"
        ,Features,
        ,Super-stretchy nitrile,Textured fingertips,Violet-blue in color,Packaging contains at least 70% recycled material,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/nova-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1060103.jpg,-1
Pure life dental,1061701, PureLife Dental,1061701,Azur Nitrile Powder-Free,"
        ,Features,
        ,Ultra-soft nitrile,Super stretchy with textued finger tips,Blue in color,Packaging contains at least 80% recycled material,    ",200/box,200/box,Gloves,-1,https://www.purelifedental.com/product/gloves/azur-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1061703.jpg,-1
Pure life dental,1063701, PureLife Dental,1063701,Sublime Nitrile Powder-Free,"
        ,Features,
        ,Ultra-soft blue nitrile,Lightweight with textued finger tips,Violet-blue in color,Packaging contains recycled material,    ",300/box,300/box,Gloves,-1,https://www.purelifedental.com/product/gloves/sublime-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1063704.jpg,-1
Pure life dental,1068101, PureLife Dental,1068101,PureOnyx Black Nitrile Powder-Free,"
        ,Features,
        ,Nitrile powder-free gloves,Textured fingertips,Black in color,Packaging contains recycled material,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/pureonyx-black-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1068101.png,-1
Pure life dental,1067101, PureLife Dental,1067101,PureBerry Nitrile Powder-Free,"
        ,Features,
        ,Nitrile powder-free gloves,Textured fingertips,Berry-blue in color,Packaging contains recycled material,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/pureberry-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1067102.jpg,-1
Pure life dental,1068001, PureLife Dental,1068001,NeoPure Green Chloroprene Powder-Free,"
        ,Features,
        ,Powder-free chloroprene exam gloves,Green in color,Latex-free,    ",100/box,100/box,Gloves - Chloroprene Powder-Free,-1,https://www.purelifedental.com/product/gloves/gloves-chloroprene-powder-free/neopure-green-chloroprene-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1068001.jpg,-1
Pure life dental,1020101, PureLife Dental,1020101,PureSkin Latex Powder-Free,"
        ,Features,
        ,Fully-textured,Polymer-coated,Packaging contains at least 70% recycled material,    ",100/box,100/box,Gloves,-1,https://www.purelifedental.com/product/gloves/pureskin-latex-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1020101_1.jpg,-1
Pure life dental,1020101, PureLife Dental,1020101,PureSkin Latex Powder-Free,"
        ,Features,
        ,Fully-textured,Polymer-coated,Packaging contains at least 70% recycled material,    ",100/box,100/box,Gloves - Latex Powder-Free,-1,https://www.purelifedental.com/product/gloves/gloves-latex-powder-free/pureskin-latex-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1020101_1.jpg,-1
Pure life dental,1061201, PureLife Dental,1061201,SuperNova Nitrile Powder-Free,"
        ,Features,
        ,Revolutionary stretchy nitrile provides superior comfort and increased tactile sensitivity,Textured fingertips,Violet-blue in color,Packaging contains at least 70% recycled material,    ",200/box,200/box,Gloves - Nitrile Powder-Free,-1,https://www.purelifedental.com/product/gloves/gloves-nitrile-powder-free/supernova-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1061203.jpg,-1
Pure life dental,1141101, PureLife Dental,1141101,PureLife Biological Evacuation Line Cleaner,"
        ,Features,
        ,Proprietary enzymatic formulation provides residual action against bacteria,pH neutral,Works well in hot or cold water,Non-foaming; safe for use with amalgam separators,Fresh scent; made with natural deodorants,    ",1 bottle,1 bottle,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-biological-evacuation-line-cleaner.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1141101.jpg,-1
Pure life dental,1081101, PureLife Dental,1081101,"PureLife Tray Covers ""B"" Ritter","
        ,Features,
        ,8 1/2"" x 12 1/4"",Made with high-quality paper stock,    ",1000/case,1000/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-tray-covers-b-ritter.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1081101.jpg,-1
Pure life dental,1120201, PureLife Dental,1120201,PureLife Plastic Cups,"
        ,Features,
        ,New and improved; great grip, excellent quality,5oz., available in a variety of colors,    ",1000/case,1000/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-plastic-cups.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1120201.jpg,-1
Pure life dental,1430601, PureLife Dental,10128,PureLife Bite Registration,"
        ,Features,
        ,Same sturdy properties as Blu-Mousse®,Easy to carve without breakage,30-second working time and 60-second set time,    ",2 x 50ml cartridges + 6 tips,2 x 50ml cartridges + 6 tips,PureLife Collection - Bite Registration,-1,https://www.purelifedental.com/product/purelife-collection/bite-registration/purelife-bite-registration.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/4/1430601.jpg,-1
Pure life dental,1132701, PureLife Dental,1132601,PureLife Applicator Brushes,"
        ,Features,
        ,Micro-applicator brush with a bendable neck for easy placement of material in difficult areas,Used to apply sealant, etch, adhesives, etc.,Non-linting, all-purpose,    ",400/box,400/box,PureLife Collection - Brushes,-1,https://www.purelifedental.com/product/purelife-collection/brushes/purelife-applicator-brushes.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1132701.jpg,-1
Pure life dental,1091001, PureLife Dental,WPPLAQ,PureLife BioBib 3-ply,"
        ,Features,
        ,Premium eco-friendly bib made with 100% recycled paper,3-ply super-durable, absorbent paper with protective poly moisture barrier,Carton contains more than 30% recycled material,13"" x 19"", tear-resistant,    ",500/case,500/case,PureLife Collection - Bibs,-1,https://www.purelifedental.com/product/purelife-collection/bibs/purelife-biobib-3-ply.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1091001.jpg,-1
Pure life dental,1090101, PureLife Dental,1090101,PureLife BioBib 2-ply,"
        ,Features,
        ,The eco-friendly bib, made with 100% recycled content paper,2-ply extra thick paper with protective poly moisture barrier,Carton contains more than 30% recycled material,13"" x 19"", tear-resistant,    ",500/case,500/case,PureLife Collection - Bibs,-1,https://www.purelifedental.com/product/purelife-collection/bibs/purelife-biobib-2-ply.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1090101.jpg,-1
Pure life dental,1091001, PureLife Dental,WPPLAQ,PureLife BioBib 3-ply,"
        ,Features,
        ,Premium eco-friendly bib made with 100% recycled paper,3-ply super-durable, absorbent paper with protective poly moisture barrier,Carton contains more than 30% recycled material,13"" x 19"", tear-resistant,    ",500/case,500/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-biobib-3-ply.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1091001.jpg,-1
Pure life dental,1090101, PureLife Dental,1090101,PureLife BioBib 2-ply,"
        ,Features,
        ,The eco-friendly bib, made with 100% recycled content paper,2-ply extra thick paper with protective poly moisture barrier,Carton contains more than 30% recycled material,13"" x 19"", tear-resistant,    ",500/case,500/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-biobib-2-ply.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1090101.jpg,-1
Pure life dental,1110301, PureLife Dental,2101-CH,PureLife Non-Woven Sponges,"
        ,Features,
        ,High-quality 4-ply sponges,Non-linting,    ",5000/case,5000/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-non-woven-sponges.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1110301.jpg,-1
Pure life dental,1110101, PureLife Dental,3554,PureLife Cotton Rolls,"
        ,Features,
        ,100% cotton,Medium size; 1.5"" in length,Excellent conformity,No chemical additives or whiteners,    ",2000/case,2000/case,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-cotton-rolls.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1110101.jpg,-1
Pure life dental,1132601, PureLife Dental,10110,PureLife Temporary Crown & Bridge Material,"
        ,Features,
        ,10:1 ratio to achieve ideal physical properties,Low shrinkage for a precise fit,55-second working time and 1:30 set time,    ",1 x 76gm cartridge + 6 mixing tips,1 x 76gm cartridge + 6 mixing tips,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-temporary-crown-bridge-material.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1132601.jpg,-1
Pure life dental,1132701, PureLife Dental,1132601,PureLife Applicator Brushes,"
        ,Features,
        ,Micro-applicator brush with a bendable neck for easy placement of material in difficult areas,Used to apply sealant, etch, adhesives, etc.,Non-linting, all-purpose,    ",400/box,400/box,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-applicator-brushes.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/1/1132701.jpg,-1
Pure life dental,1430401, PureLife Dental,PL90814,PureLife Desensitizer,"
        ,Features,
        ,Equivalent to Gluma® formula,Ideal antimicrobial when used with self-etch adhesives,    ",1 bottle,1 bottle,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-desensitizer.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/4/1430401.jpg,-1
Pure life dental,1070201, PureLife Dental,03-12019,PureLife Topical Anesthetic Gel,"
        ,Features,
        ,20% benzocaine gel,Fast-acting with no bitter aftertaste and no systemic absorption,    ",1oz jar,1oz jar,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/purelife-topical-anesthetic-gel.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1070201.jpg,-1
Pure life dental,1068001, PureLife Dental,1068001,NeoPure Green Chloroprene Powder-Free,"
        ,Features,
        ,Powder-free chloroprene exam gloves,Green in color,Latex-free,    ",100/box,100/box,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/neopure-green-chloroprene-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1068001.jpg,-1
Pure life dental,1061201, PureLife Dental,1061201,SuperNova Nitrile Powder-Free,"
        ,Features,
        ,Revolutionary stretchy nitrile provides superior comfort and increased tactile sensitivity,Textured fingertips,Violet-blue in color,Packaging contains at least 70% recycled material,    ",200/box,200/box,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/supernova-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1061203.jpg,-1
Pure life dental,1060101, PureLife Dental,1060101,Nova Nitrile Powder-Free,"
        ,Features,
        ,Super-stretchy nitrile,Textured fingertips,Violet-blue in color,Packaging contains at least 70% recycled material,    ",100/box,100/box,PureLife Collection,-1,https://www.purelifedental.com/product/purelife-collection/nova-nitrile-powder-free.html,-1,https://www.purelifedental.com/media/catalog/product/cache/2364debf0041c9e94dd828fb80d6a3c2/1/0/1060103.jpg,-1
